iso3,Country,year,avh,emp,hc,labsh,rgdpna,rnna
FIN,Finland,1950,1991.22,2.1858491897583,2.11924743652344,0.640154242515564,35580.78125,129762.453125
FIN,Finland,1951,1991.8,2.18731904029846,2.12714982032776,0.640154242515564,38559.09375,140293.109375
FIN,Finland,1952,1992.39,2.19099903106689,2.13508152961731,0.640154242515564,40515.0078125,152292.15625
FIN,Finland,1953,1992.98,2.19727897644043,2.14304304122925,0.640154242515564,40362.74609375,160645.15625
FIN,Finland,1954,1993.56,2.20235896110535,2.151034116745,0.640154242515564,43652.73828125,172373.078125
FIN,Finland,1955,1994.15,2.2072389125824,2.15905475616455,0.640154242515564,47223.07421875,185658.75
FIN,Finland,1956,1994.74,2.2110390663147,2.16675877571106,0.640154242515564,48609.39453125,199118.453125
FIN,Finland,1957,1995.33,2.21208906173706,2.17449021339417,0.640154242515564,48814.79296875,211469.4375
FIN,Finland,1958,1995.91,2.20942902565002,2.18224930763245,0.640154242515564,48766.125,222485.75
FIN,Finland,1959,1996.5,2.20597910881043,2.1900360584259,0.640154242515564,52346.359375,235389.25
FIN,Finland,1960,1997.09,2.20219874382019,2.19785070419312,0.640154242515564,56768.3359375,252323.890625
FIN,Finland,1961,1996.12,2.24409079551697,2.21825909614563,0.640154242515564,61085.625,270774.6875
FIN,Finland,1962,1989.34,2.23486065864563,2.23885703086853,0.640154242515564,62907.05078125,287432.3125
FIN,Finland,1963,1985.46,2.24345850944519,2.25964641571045,0.640154242515564,64973.484375,300949.1875
FIN,Finland,1964,2010.65,2.24253106117249,2.28062868118286,0.640154242515564,68656.71875,316107.875
FIN,Finland,1965,2010.65,2.26866006851196,2.3018057346344,0.640154242515564,72022.2421875,336184.40625
FIN,Finland,1966,1986.43,2.27300882339478,2.32317972183228,0.640154242515564,74041.5625,355113.6875
FIN,Finland,1967,1969.96,2.23123073577881,2.34475183486938,0.640154242515564,75387.7734375,371543
FIN,Finland,1968,1954.45,2.20208883285522,2.36652445793152,0.640154242515564,76733.984375,387559.375
FIN,Finland,1969,1936.04,2.23538160324097,2.38849902153015,0.640154242515564,84138.140625,406761.03125
FIN,Finland,1970,1920.54,2.28286743164063,2.41067790985107,0.640154242515564,90869.1953125,433365.03125
FIN,Finland,1971,1886.62,2.26754331588745,2.4463427066803,0.659525573253632,93010.90625,460107.5625
FIN,Finland,1972,1871.12,2.28831481933594,2.48253488540649,0.663898527622223,100205.75,488442.53125
FIN,Finland,1973,1855.62,2.33124709129334,2.51926279067993,0.660378396511078,107203.953125,519533.875
FIN,Finland,1974,1849.8,2.3390326499939,2.55653405189514,0.648966670036316,110673.640625,550746.4375
FIN,Finland,1975,1781.36,2.32839560508728,2.58307456970215,0.683632612228394,112671.1875,582760.625
FIN,Finland,1976,1778.53,2.30712223052979,2.60874199867249,0.694307208061218,113059.2109375,609047.6875
FIN,Finland,1977,1770.75,2.26522898674011,2.63466429710388,0.687122821807861,113329.9921875,632375.875
FIN,Finland,1978,1775.84,2.24409580230713,2.66084432601929,0.65339469909668,116638.90625,651068.6875
FIN,Finland,1979,1753.22,2.29321932792664,2.68728446960449,0.638063907623291,124945.84375,671178.0625
FIN,Finland,1980,1734.5,2.36000633239746,2.71398711204529,0.649702668190002,131679.234375,695833.6875
FIN,Finland,1981,1728.45,2.39874410629272,2.73764204978943,0.659432590007782,133377.078125,720748.6875
FIN,Finland,1982,1721.32,2.41367602348328,2.76150298118591,0.652789056301117,137494.046875,747789.125
FIN,Finland,1983,1711.35,2.4062991142273,2.78557229042053,0.647110641002655,141761.65625,775914.4375
FIN,Finland,1984,1707.23,2.41421723365784,2.8098509311676,0.644649505615234,146335.640625,802387.875
FIN,Finland,1985,1701.42,2.42603802680969,2.83434128761292,0.658360302448273,151516,830539.5625
FIN,Finland,1986,1685.36,2.41692495346069,2.8590452671051,0.656699001789093,155690.421875,858301.125
FIN,Finland,1987,1692.11,2.44096064567566,2.88396453857422,0.655125439167023,161234.625,887865.25
FIN,Finland,1988,1695.64,2.44869899749756,2.9091010093689,0.650437474250794,169668.984375,922352.375
FIN,Finland,1989,1695.76,2.4777410030365,2.93445634841919,0.650641322135925,178294.828125,962789.9375
FIN,Finland,1990,1672.89,2.46847176551819,2.96003293991089,0.665733158588409,179528,998005.625
FIN,Finland,1991,1654.39,2.33176970481873,2.97676420211792,0.693924367427826,168970.6875,1018881.25
FIN,Finland,1992,1653.53,2.17615103721619,2.99359035491943,0.66640043258667,163375.4375,1030333.8125
FIN,Finland,1993,1652.97,2.05116486549377,3.01051139831543,0.621047019958496,162101.421875,1034015.6875
FIN,Finland,1994,1673.29,2.0175507068634,3.02752804756165,0.59550416469574,168527.71875,1038148.0625
FIN,Finland,1995,1678.73,2.05873703956604,3.04464077949524,0.579093396663666,175663.796875,1048454.1875
FIN,Finland,1996,1677.3,2.09353542327881,3.06185054779053,0.584406197071075,182097.765625,1063746.625
FIN,Finland,1997,1673.24,2.16463994979858,3.07915759086609,0.571009397506714,193747.8125,1084594.5
FIN,Finland,1998,1663.28,2.20780777931213,3.09656238555908,0.562438249588013,204315.359375,1111018.625
FIN,Finland,1999,1662.93,2.25329399108887,3.11406540870667,0.567132234573364,213283.328125,1138728.75
FIN,Finland,2000,1651.85,2.2997875213623,3.13166737556458,0.560236275196075,225555.09375,1169114.75
FIN,Finland,2001,1637.51,2.33547353744507,3.15149402618408,0.554820656776428,231510.328125,1199071
FIN,Finland,2002,1630.32,2.36436176300049,3.17144656181335,0.559508502483368,235416.671875,1225289
FIN,Finland,2003,1624.43,2.36996603012085,3.19152498245239,0.563240766525269,240152.78125,1252669
FIN,Finland,2004,1625.67,2.38246250152588,3.21173048019409,0.557537317276001,249771.828125,1282682.5
FIN,Finland,2005,1615.34,2.41887784004211,3.23206400871277,0.566015720367432,256708.765625,1313992.625
FIN,Finland,2006,1610.21,2.46436095237732,3.25252652168274,0.566071689128876,267027.34375,1345148.875
FIN,Finland,2007,1606.61,2.51889038085938,3.27311825752258,0.55107045173645,281213.96875,1383453.5
FIN,Finland,2008,1602.52,2.57507419586182,3.2938404083252,0.561909198760986,283419.90625,1420303.5
FIN,Finland,2009,1581.9,2.50976514816284,3.31469392776489,0.597606003284454,260530.828125,1444192.875
FIN,Finland,2010,1587.65,2.49096274375916,3.33567929267883,0.594347298145294,268785.1875,1471264.125
FIN,Finland,2011,1579.65,2.52865815162659,3.35402321815491,0.597608268260956,275210.21875,1499840.625
FIN,Finland,2012,1567.93,2.5441722869873,3.37246775627136,0.61171156167984,271019.21875,1527182.375
FIN,Finland,2013,1560.49,2.52381086349487,3.39101386070251,0.609193205833435,268363.9375,1550288.875
FIN,Finland,2014,1556.48,2.50961136817932,3.40966200828552,0.603710532188416,267080.96875,1571285.25
FIN,Finland,2015,1554.89,2.51762652397156,3.42841267585754,0.596131980419159,268326.90625,1592210.125
FIN,Finland,2016,1554.67,2.53206396102905,3.44726634025574,0.592865586280823,275228.09375,1620614.5
FIN,Finland,2017,1548.45,2.54737663269043,3.46622395515442,0.571427047252655,284319.90625,1652962.5
FIN,Finland,2018,1546.65,2.61336588859558,3.48528575897217,0.576554954051971,287711.78125,1688566.375
FIN,Finland,2019,1536.44,2.65216207504272,3.50445199012756,0.578412890434265,291595.125,1722112.5
FIN,Finland,2020,1528.76,2.58947658538818,3.52372407913208,0.569117605686188,284331.40625,1753664.25
FIN,Finland,2021,1526.75,2.6494824886322,3.54863691329956,0.576503872871399,292107.03125,1786506.25
FIN,Finland,2022,1512.55,2.74890518188477,3.57393145561218,0.57607901096344,296342.75,1821321.375
FIN,Finland,2023,1496.85,2.77818250656128,3.59961485862732,0.582876920700073,292893.40625,1846420.75
